Local time in Braganca,temp,RH,wind,rain,month,day,class
2017-06-16 10:00:00,29.8,39.0,1.0,0.0,6,5,0
2018-09-14 14:00:00,30.4,30.0,3.0,0.0,9,5,0
2016-08-05 00:00:00,17.4,71.0,2.0,0.0,8,5,0
2018-12-14 23:00:00,7.1,92.0,0.0,0.0,12,5,0
2017-10-05 14:00:00,31.6,18.0,2.0,0.0,10,4,0
2017-11-22 00:00:00,3.5,75.0,0.0,0.0,11,3,0
2018-10-29 14:00:00,9.7,45.0,3.0,0.0,10,1,0
2016-01-16 12:00:00,5.6,67.0,3.0,0.0,1,6,0
2016-07-08 15:00:00,31.0,18.0,5.0,0.0,7,5,0
2018-05-26 01:00:00,10.2,97.0,0.0,0.0,5,6,0
2018-06-29 14:00:00,26.4,42.0,3.0,0.0,6,5,0
2017-06-29 17:00:00,14.5,51.0,4.0,0.0,6,4,0
2018-11-15 05:00:00,9.8,92.0,1.0,1.0,11,4,0
2017-10-14 05:00:00,8.4,69.0,0.0,0.0,10,6,0
2016-12-30 16:00:00,11.3,49.0,1.0,0.0,12,5,0
2017-01-03 23:00:00,6.4,98.0,0.0,0.0,1,2,0
2018-12-10 23:00:00,4.1,93.0,0.0,0.0,12,1,0
2018-01-09 02:00:00,-1.6,96.0,0.0,0.0,1,2,0
2018-06-28 16:00:00,27.3,39.0,5.0,0.0,6,4,0
2017-02-10 01:00:00,3.0,87.0,3.0,0.0,2,5,0
2017-06-15 16:00:00,34.6,24.0,2.0,0.0,6,4,0
2017-04-01 07:00:00,6.1,82.0,1.0,0.0,4,6,0
2016-11-19 05:00:00,3.9,85.0,1.0,0.0,11,6,0
2018-02-13 00:00:00,-0.2,76.0,1.0,0.0,2,2,0
2017-08-31 21:00:00,18.5,52.0,2.0,0.0,8,4,0
2018-10-25 04:00:00,6.1,70.0,0.0,0.0,10,4,0
2018-02-28 04:00:00,-3.0,96.0,3.0,3.0,2,3,0
2018-03-11 21:00:00,5.9,88.0,1.0,8.0,3,7,0
2017-06-03 19:00:00,17.7,54.0,4.0,0.0,6,6,0
2018-12-24 11:00:00,2.7,99.0,0.0,0.0,12,1,0
2016-11-11 16:00:00,6.6,90.0,4.0,0.0,11,5,0
2017-08-01 19:00:00,24.6,32.0,3.0,0.0,8,2,0
2016-08-12 13:00:00,28.7,23.0,2.0,0.0,8,5,0
2016-09-03 21:00:00,25.8,39.0,2.0,0.0,9,6,0
2017-12-30 01:00:00,11.4,87.0,2.0,0.0,12,6,0
2016-06-19 13:00:00,23.1,38.0,1.0,0.0,6,7,0
2017-01-26 05:00:00,-0.2,80.0,1.0,0.0,1,4,0
2018-01-23 13:00:00,5.3,96.0,2.0,0.0,1,2,0
2016-06-15 12:00:00,9.8,86.0,5.0,1.0,6,3,0
2017-02-07 20:00:00,5.0,69.0,2.0,0.0,2,2,0
2018-07-17 07:00:00,17.7,71.0,1.0,0.0,7,2,0
2017-09-11 18:00:00,21.9,44.0,3.0,0.0,9,1,0
2016-04-26 22:00:00,12.7,64.0,3.0,0.0,4,2,0
2016-09-01 08:00:00,19.8,56.0,1.0,0.0,9,4,0
2017-03-15 22:00:00,13.1,40.0,2.0,0.0,3,3,0
2016-09-16 01:00:00,12.9,79.0,4.0,0.0,9,5,0
2017-02-24 02:00:00,5.8,82.0,0.0,0.0,2,5,0
2018-08-07 10:00:00,21.5,44.0,2.0,0.0,8,2,0
2018-06-08 12:00:00,17.6,80.0,4.0,6.0,6,5,0
2018-09-21 05:00:00,12.4,71.0,0.0,0.0,9,5,0
2016-03-08 00:00:00,3.7,63.0,1.0,0.0,3,2,0
2017-03-29 16:00:00,18.1,43.0,4.0,0.0,3,3,0
2016-11-13 13:00:00,8.6,99.0,0.0,0.0,11,7,0
2017-06-06 10:00:00,19.3,52.0,2.0,0.0,6,2,0
2017-09-26 22:00:00,14.7,44.0,0.0,0.0,9,2,0
2016-06-09 13:00:00,29.2,34.0,3.0,0.0,6,4,0
2016-02-05 02:00:00,1.2,88.0,1.0,0.0,2,5,0
2016-10-19 19:00:00,14.7,88.0,0.0,0.0,10,3,0
2017-05-16 16:00:00,26.4,41.0,1.0,0.0,5,2,0
2017-05-04 07:00:00,13.9,63.0,1.0,0.0,5,4,0
2018-04-19 11:00:00,21.0,47.0,1.0,0.0,4,4,0
2018-10-21 19:00:00,17.9,57.0,1.0,0.0,10,7,0
2018-09-30 18:00:00,23.6,40.0,5.0,0.0,9,7,0
2016-08-06 14:00:00,32.1,19.0,2.0,0.0,8,6,0
2016-04-30 18:00:00,14.9,36.0,4.0,0.0,4,6,0
2016-04-16 22:00:00,7.8,85.0,3.0,0.0,4,6,0
